company,job_title,country,city,district,job_type
classera,Hardware Partnerships Sales Officer,Egypt,Cairo,New Cairo,Full Time
Confidential,Blender - 3 D Animator,Egypt,Cairo,Nasr City,Freelance / Project
Confidential,Technical Recruiter,Egypt,Cairo,Heliopolis,Full Time
Confidential,Pre Sales Software Engineer,Egypt,Cairo,Nasr City,Full Time
Premium Card,Technical Support Specialist,Egypt,Giza,Dokki,Full Time
Infotech,IT Administrator,Egypt,Cairo,Nasr City,Full Time
Roaya,Technical Projects Coordinator - IT Background,Egypt,Cairo,Maadi,Full Time
Xceed Contact Center,Information Security Senior Supervisor,Egypt,Cairo,Maadi,Full Time
Mazaya,IT Specialist,Egypt,Cairo,New Cairo,Full Time
GS - GEO Solutions,Senior Full Stack developer (.Net & Angular),Egypt,Cairo,,Full Time
Arabic Localizer,Business Development Executive - Mawared Software Solutions,Egypt,Giza,Mohandessin,Full Time
Arabic Localizer,Business Development Executive - Mawared Software Solutions,Egypt,Giza,Mohandessin,Work From Home
hyperone,Technical Support Specialist,Egypt,Sharqia,10th of Ramadan City,Full Time
Expert Apps,Senior Business Analyst,Egypt,Cairo,Maadi,Full Time
K Line Europe,Senior Software Engineer,Egypt,Cairo,Nasr City,Full Time
K Line Europe,Senior Software Engineer,Egypt,Cairo,Nasr City,Work From Home
TTC Technologies,Embedded Hardware Engineer - PCB Design,Egypt,Cairo,Heliopolis,Full Time
Injaz Tech for advanced systems,Sales Specialist (IT Solutions),Egypt,Cairo,Heliopolis,Full Time
SE Wiring Systems EGYPT,IT Engineer,Egypt,Giza,6th of October,Full Time
Confidential,IT Manager,Egypt,Cairo,Obour City,Full Time
scandiweb,Junior Web Developer,Latvia,Riga,,Full Time
scandiweb,Junior Web Developer,Latvia,Riga,,Work From Home
qTech.,Senior UI Developer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,UI Developer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior UI/UX Designer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,UI/UX Designer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Software Business Analyst,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior Software Business Analyst,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior Software Quality Control Engineer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Software Tester / Quality Control Engineer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior ARC GIS Developer,Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior Full Stack Developer (Asp.net Core– Angular),Egypt,Dakahlia,Mansoura,Full Time
qTech.,Full Stack (.Net Developer),Egypt,Dakahlia,Mansoura,Full Time
qTech.,Senior Full Stack (.Net Developer),Egypt,Dakahlia,Mansoura,Full Time
ElMotaheda Web,Flutter Developer,Egypt,Cairo,Nasr City,Full Time
Rentokil Initial,Designer - Landscape,Saudi Arabia,Riyadh,,Full Time
Johnson & Johnson,Master Data Analyst,Egypt,Cairo,,Full Time
